127.0.0.1 - - [26/Nov/2015:20:14:50 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/ HTTP/1.1" 200 4309
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/index.css HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/css/bootstrap.css HTTP/1.1" 200 147417
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/css/hover-min.css HTTP/1.1" 200 104212
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/css/bootstrap-switch.min.css HTTP/1.1" 200 6255
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/resources/css/custom.css HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/js/Chart.min.js HTTP/1.1" 200 52091
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/js/bootstrap-switch.min.js HTTP/1.1" 200 15724
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:54 -0200] "GET /Hamburgueria/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 32033
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:55 -0200] "GET /Hamburgueria/index.js HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:55 -0200] "GET /Hamburgueria/resources/js/custom.js HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:55 -0200] "GET /Hamburgueria/assets/imagem/johnny-rockets.png HTTP/1.1" 200 275155
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:55 -0200] "GET /Hamburgueria/imagem/background.jpg HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:55 -0200] "GET /Hamburgueria/resources/ofertadia.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:55 -0200] "GET /Hamburgueria/assets/imagem/ofertadodia3.png HTTP/1.1" 200 19693
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:14:55 -0200] "GET /Hamburgueria/assets/imagem/imagem4.png HTTP/1.1" 200 841552
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/ HTTP/1.1" 200 4309
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/css/bootstrap.css HTTP/1.1" 200 147417
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/index.css HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/css/hover-min.css HTTP/1.1" 200 104212
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/resources/css/custom.css HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/css/bootstrap-switch.min.css HTTP/1.1" 200 6255
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/js/Chart.min.js HTTP/1.1" 200 52091
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/js/bootstrap-switch.min.js HTTP/1.1" 200 15724
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 32033
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/index.js HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/resources/js/custom.js HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/assets/imagem/johnny-rockets.png HTTP/1.1" 200 275155
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:03 -0200] "GET /Hamburgueria/resources/ofertadia.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:04 -0200] "GET /Hamburgueria/imagem/background.jpg HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:04 -0200] "GET /Hamburgueria/assets/imagem/ofertadodia3.png HTTP/1.1" 200 19693
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:04 -0200] "GET /Hamburgueria/assets/imagem/imagem4.png HTTP/1.1" 200 841552
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:04 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:08 -0200] "GET /Hamburgueria/resources/horse/controleVendas.html HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:08 -0200] "GET /Hamburgueria/js/controleVendas.js?_=1448576103789 HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:12 -0200] "GET /Hamburgueria/resources/usuario/cadastroUser.html HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/css/hover-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/css/bootstrap-switch.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/js/bootstrap-switch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/resources/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/resources/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/assets/imagem/johnny-rockets.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:36 -0200] "GET /Hamburgueria/resources/ofertadia.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:37 -0200] "GET /Hamburgueria/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:37 -0200] "GET /Hamburgueria/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:37 -0200] "GET /Hamburgueria/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2015:20:15:37 -0200] "GET /Hamburgueria/assets/css/hover-min.css HTTP/1.1" 304 -
